date,open,high,low,close,volume,adjusted,oi
2010-02-25,1388.1759,1395.5746,1375.1231,1375.6243,141069610.1005967,1375.6243,5795498.0
2010-02-26,1377.1178,1381.6658,1376.5392,1378.0268,128183794.4881996,1378.0268,5857522.0
2010-03-01,1402.344,1402.3775,1387.2721,1392.5392,115491844.0598458,1392.5392,5930446.0
2010-03-02,1388.6177,1388.6177,1370.5332,1370.5332,133110476.1951446,1370.5332,5966884.0
2010-03-03,1380.3945,1381.1087,1374.2076,1378.7155,134729164.7008508,1378.7155,6020078.0
2010-03-04,1381.0084,1384.267,1368.4297,1368.8507,126134209.3621443,1368.8507,6026592.0
2010-03-05,1367.6127,1377.1421,1364.4458,1376.1258,126018588.7545939,1376.1258,6035714.0
2010-03-08,1382.1706,1391.7697,1378.7348,1391.6396,115162015.9038076,1391.6396,6102190.0
2010-03-09,1386.6808,1389.4999,1381.8606,1386.9058,118119593.4958353,1386.9058,6094590.0
2010-03-10,1382.4418,1389.4361,1382.4418,1385.0659,143786020.3840295,1385.0659,6051762.0
2010-03-11,1383.2599,1385.1465,1363.7609,1366.5465,148900930.2342681,1366.5465,6014966.0
2010-03-12,1366.749,1367.6109,1359.5581,1364.5867,132468741.9963212,1364.5867,5978350.0
2010-03-15,1363.5464,1363.5464,1342.5897,1346.0751,154482887.292272,1346.0751,6126384.0
2010-03-16,1340.5146,1354.8079,1338.0278,1354.1538,148138918.7420576,1354.1538,5990632.0
2010-03-17,1358.2135,1369.0294,1355.3666,1368.7956,163342661.0018492,1368.7956,6123288.0
2010-03-18,1368.21,1373.4686,1360.9039,1362.4957,166282285.8445328,1362.4957,6005778.0
2010-03-19,1365.243,1377.1866,1365.243,1375.4579,130953021.3925696,1375.4579,6062840.0
2010-03-22,1366.2975,1373.4829,1366.2975,1369.3409,117112952.8167435,1369.3409,6089260.0
2010-03-23,1373.264,1373.639,1361.406,1361.4371,136986554.4323684,1361.4371,6096244.0
