date,open,high,low,close,volume,adjusted
1994-06-03,380.66,385.16,379.03,382.78,19030597.1521658,382.78
1994-06-06,382.78,384.74,381.15,382.8,31152992.7126922,382.8
1994-06-07,382.8,382.8,378.65,379.99,17602602.8516516,379.99
1994-06-08,379.99,381.23,369.06,371.0,25427648.2567798,371.0
1994-06-09,371.0,372.04,368.37,370.3,22396748.9933647,370.3
1994-06-10,370.3,375.78,370.3,374.64,16529443.2388454,374.64
1994-06-13,374.64,375.04,371.61,371.88,12451608.1072054,371.88
1994-06-14,371.88,377.9,371.88,377.38,16582961.9594042,377.38
1994-06-15,377.38,379.8,376.72,377.78,15060399.3512252,377.78
1994-06-16,377.78,378.1,375.63,377.8,13463021.9423292,377.8
1994-06-17,377.8,377.8,371.51,371.94,18500423.3095125,371.94
1994-06-20,371.94,371.94,366.61,367.83,15811718.2033292,367.83
1994-06-21,367.83,367.83,358.07,360.98,21250788.4948665,360.98
1994-06-22,360.98,366.68,360.98,363.23,18774444.3006842,363.23
1994-06-23,363.23,364.57,352.89,353.49,25890034.5766757,353.49
1994-06-24,353.49,356.59,350.03,351.76,24363144.1936557,351.76
1994-06-27,351.76,361.56,350.24,361.16,18297189.2890078,361.16
1994-06-28,361.16,365.94,358.16,362.05,20889355.0217573,362.05
1994-06-29,362.05,367.23,361.43,362.73,21860533.4056364,362.73
1994-06-30,362.73,365.51,359.19,360.3,15795521.1846172,360.3
1994-07-01,360.3,361.73,357.65,360.03,12796073.2749973,360.03
1994-07-05,360.03,361.02,356.46,356.91,11854418.0284,356.91
1994-07-06,356.91,356.91,352.74,353.62,17507134.709614,353.62
1994-07-07,353.62,359.34,352.98,359.23,17792682.1506098,359.23
1994-07-08,359.23,362.73,356.55,359.31,19620845.6515231,359.31
1994-07-11,359.31,361.14,355.21,358.79,16805649.5420655,358.79
1994-07-12,358.79,361.67,354.91,361.31,18879853.4700795,361.31
1994-07-13,361.31,369.62,361.31,369.14,31792982.3422124,369.14
1994-07-14,369.14,373.43,366.71,367.52,40018935.6689108,367.52
1994-07-15,367.65,367.84,366.05,367.24,22230451.0314042,367.24
1994-07-18,368.35,368.73,365.78,368.18,19682677.1277172,368.18
1994-07-19,368.18,368.36,364.48,364.72,21611407.8321145,364.72
1994-07-20,364.72,364.72,358.16,359.53,20141335.5623539,359.53
1994-07-21,359.53,362.32,357.93,362.21,18195293.7585925,362.21
1994-07-22,362.85,365.34,361.19,365.06,19859944.4991757,365.06
1994-07-25,365.06,366.11,363.61,366.11,12814584.1535252,366.11
1994-07-26,366.11,366.19,363.01,364.01,13599625.3699845,364.01
1994-07-27,364.01,364.95,361.59,361.81,21781305.1315666,361.81
1994-07-28,361.81,364.18,361.34,362.14,16016280.5507653,362.14
1994-07-29,362.14,370.65,362.14,370.16,22941748.6785427,370.16
